"Town/County","FIPS","Year","Measure Type","Variable","Value"
"Andover","0901301080",2002,"Number","Total Housing Units",1198
"Andover","0901301080",2003,"Number","Total Housing Units",1198
"Andover","0901301080",2004,"Number","Total Housing Units",1198
"Andover","0901301080",2005,"Number","Total Housing Units",1198
"Andover","0901301080",2006,"Number","Total Housing Units",1198
"Andover","0901301080",2007,"Number","Total Housing Units",1198
"Andover","0901301080",2008,"Number","Total Housing Units",1198
"Andover","0901301080",2009,"Number","Total Housing Units",1198
"Andover","0901301080",2010,"Number","Total Housing Units",1198
"Andover","0901301080",2011,"Number","Total Housing Units",1317
"Andover","0901301080",2012,"Number","Total Housing Units",1317
"Andover","0901301080",2013,"Number","Total Housing Units",1317
"Andover","0901301080",2014,"Number","Total Housing Units",1317
"Andover","0901301080",2015,"Number","Total Housing Units",1317
"Andover","0901301080",2016,"Number","Total Housing Units",1317
"Andover","0901301080",2002,"Number","Government Assisted",25
"Andover","0901301080",2003,"Number","Government Assisted",25
"Andover","0901301080",2004,"Number","Government Assisted",24
"Andover","0901301080",2005,"Number","Government Assisted",24
"Andover","0901301080",2006,"Number","Government Assisted",24
"Andover","0901301080",2007,"Number","Government Assisted",26
"Andover","0901301080",2008,"Number","Government Assisted",26
"Andover","0901301080",2009,"Number","Government Assisted",26
"Andover","0901301080",2010,"Number","Government Assisted",25
"Andover","0901301080",2011,"Number","Government Assisted",24
"Andover","0901301080",2012,"Number","Government Assisted",24
"Andover","0901301080",2013,"Number","Government Assisted",24
"Andover","0901301080",2014,"Number","Government Assisted",24
"Andover","0901301080",2015,"Number","Government Assisted",24
"Andover","0901301080",2016,"Number","Government Assisted",18
"Andover","0901301080",2002,"Number","CHFA/USDA Mortgages",30
"Andover","0901301080",2003,"Number","CHFA/USDA Mortgages",17
"Andover","0901301080",2004,"Number","CHFA/USDA Mortgages",14
"Andover","0901301080",2005,"Number","CHFA/USDA Mortgages",15
"Andover","0901301080",2006,"Number","CHFA/USDA Mortgages",15
"Andover","0901301080",2007,"Number","CHFA/USDA Mortgages",19
"Andover","0901301080",2008,"Number","CHFA/USDA Mortgages",22
"Andover","0901301080",2009,"Number","CHFA/USDA Mortgages",21
"Andover","0901301080",2010,"Number","CHFA/USDA Mortgages",21
"Andover","0901301080",2011,"Number","CHFA/USDA Mortgages",20
"Andover","0901301080",2012,"Number","CHFA/USDA Mortgages",22
"Andover","0901301080",2013,"Number","CHFA/USDA Mortgages",29
"Andover","0901301080",2014,"Number","CHFA/USDA Mortgages",32
"Andover","0901301080",2015,"Number","CHFA/USDA Mortgages",31
"Andover","0901301080",2016,"Number","CHFA/USDA Mortgages",22
"Andover","0901301080",2002,"Number","Deed Restrictions",0
"Andover","0901301080",2003,"Number","Deed Restrictions",0
"Andover","0901301080",2004,"Number","Deed Restrictions",0
"Andover","0901301080",2005,"Number","Deed Restrictions",9
"Andover","0901301080",2006,"Number","Deed Restrictions",0
"Andover","0901301080",2007,"Number","Deed Restrictions",0
"Andover","0901301080",2008,"Number","Deed Restrictions",0
"Andover","0901301080",2009,"Number","Deed Restrictions",0
"Andover","0901301080",2010,"Number","Deed Restrictions",0
"Andover","0901301080",2011,"Number","Deed Restrictions",0
"Andover","0901301080",2012,"Number","Deed Restrictions",0
"Andover","0901301080",2013,"Number","Deed Restrictions",0
"Andover","0901301080",2014,"Number","Deed Restrictions",0
"Andover","0901301080",2015,"Number","Deed Restrictions",0
"Andover","0901301080",2016,"Number","Deed Restrictions",0
"Andover","0901301080",2002,"Number","Tenant Rental Assistance",0
"Andover","0901301080",2003,"Number","Tenant Rental Assistance",0
"Andover","0901301080",2004,"Number","Tenant Rental Assistance",0
"Andover","0901301080",2005,"Number","Tenant Rental Assistance",0
"Andover","0901301080",2006,"Number","Tenant Rental Assistance",0
"Andover","0901301080",2007,"Number","Tenant Rental Assistance",0
"Andover","0901301080",2008,"Number","Tenant Rental Assistance",0
"Andover","0901301080",2009,"Number","Tenant Rental Assistance",0
"Andover","0901301080",2010,"Number","Tenant Rental Assistance",0
"Andover","0901301080",2011,"Number","Tenant Rental Assistance",1
"Andover","0901301080",2012,"Number","Tenant Rental Assistance",1
"Andover","0901301080",2013,"Number","Tenant Rental Assistance",1
"Andover","0901301080",2014,"Number","Tenant Rental Assistance",1
"Andover","0901301080",2015,"Number","Tenant Rental Assistance",0
"Andover","0901301080",2016,"Number","Tenant Rental Assistance",0
"Andover","0901301080",2002,"Number","Total Assisted",55
"Andover","0901301080",2003,"Number","Total Assisted",42
"Andover","0901301080",2004,"Number","Total Assisted",38
"Andover","0901301080",2005,"Number","Total Assisted",48
"Andover","0901301080",2006,"Number","Total Assisted",39
"Andover","0901301080",2007,"Number","Total Assisted",45
"Andover","0901301080",2008,"Number","Total Assisted",48
"Andover","0901301080",2009,"Number","Total Assisted",47
"Andover","0901301080",2010,"Number","Total Assisted",46
"Andover","0901301080",2011,"Number","Total Assisted",45
"Andover","0901301080",2012,"Number","Total Assisted",47
"Andover","0901301080",2013,"Number","Total Assisted",54
"Andover","0901301080",2014,"Number","Total Assisted",57
"Andover","0901301080",2015,"Number","Total Assisted",55
"Andover","0901301080",2016,"Number","Total Assisted",40
"Andover","0901301080",2002,"Percent","Percent Affordable",4.59
"Andover","0901301080",2003,"Percent","Percent Affordable",3.51
"Andover","0901301080",2004,"Percent","Percent Affordable",3.17
"Andover","0901301080",2005,"Percent","Percent Affordable",4.01
